Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Abilene Police Dept,TX,12,     110100,         740,           7,          69,         173,         491,       5955,       2486,       3181,         288,         672.1,           6.4,          62.7,         157.1,         446.0,       5408.7,       2257.9,       2889.2,         261.6
Ada County Sheriff Department,ID,12,,         103,           1,           5,           5,          92,       1601,         505,       1029,          67,,,,,,,,,
Aiken County Sheriff Department,SC,12,,         485,           5,          30,          64,         386,       2986,       1149,       1556,         281,,,,,,,,,
Akron City Police Dept,OH,12,     222588,       2251,          20,         179,         745,       1307,      14476,       3358,       9478,       1640,       1011.3,           9.0,          80.4,         334.7,         587.2,       6503.5,       1508.6,       4258.1,         736.8
Alameda County Sheriff Department,CA,12,,         348,          10,          14,         126,         198,       3274,       1055,       1782,         437,,,,,,,,,
Albemarle County Police Department,VA,12,,          99,           2,          13,          13,          71,       1689,         448,       1133,         108,,,,,,,,,
Albuquerque Police Dept,NM,12,     384801,       4696,          41,         178,       1032,       3445,      33648,       9672,      21670,       2306,       1220.4,          10.7,          46.3,         268.2,         895.3,       8744.3,       2513.5,       5631.5,         599.3
Alexandria Police Dept,VA,12,     109888,         719,           8,          57,         383,         271,       7232,       1271,       4856,       1105,         654.3,           7.3,          51.9,         348.5,         246.6,       6581.2,       1156.6,       4419.0,       1005.6
Allentown City Police Dept,PA,12,     105531,         499,           3,          30,         232,         234,       5768,       1382,       3879,         507,         472.8,           2.8,          28.4,         219.8,         221.7,       5465.7,       1309.6,       3675.7,         480.4
Amarillo Police Dept,TX,12,     167516,         960,          15,          79,         271,         595,      12833,       3370,       8884,         579,         573.1,           9.0,          47.2,         161.8,         355.2,       7660.8,       2011.7,       5303.4,         345.6
Amherst Town Police Dept,NY,12,     112285,         281,           1,           8,          57,         215,       3000,         422,       2292,         286,         250.3,            .9,           7.1,          50.8,         191.5,       2671.8,         375.8,       2041.2,         254.7
Anaheim Police Dept,CA,12,     251146,       1651,          27,         113,         755,         756,      16612,       4467,       9128,       3017,         657.4,          10.8,          45.0,         300.6,         301.0,       6614.5,       1778.6,       3634.5,       1201.3
Anchorage Police Dept,AK,12,     223363,       1131,          11,         139,         272,         709,      11085,       1708,       8219,       1158,         506.4,           4.9,          62.2,         121.8,         317.4,       4962.8,         764.7,       3679.7,         518.4
Anderson County Sheriff Department,SC,12,,         517,           5,          32,          63,         417,       3653,       1390,       1953,         310,,,,,,,,,
Ann Arbor Police Dept,MI,12,     108830,         656,           3,          54,         152,         447,       7985,       1503,       6066,         416,         602.8,           2.8,          49.6,         139.7,         410.7,       7337.1,       1381.1,       5573.8,         382.2
Anne Arundel County Police Department,MD,12,,       1002,          17,          87,         334,         564,      13880,       3295,       9139,       1446,,,,,,,,,
Antioch Police Dept,CA,12,      57462,         711,           5,          14,          80,         612,       3281,         696,       2278,         307,       1237.3,           8.7,          24.4,         139.2,       1065.1,       5709.9,       1211.2,       3964.4,         534.3
Arlington Police Dept,TX,12,     259796,       1550,          11,          88,         552,         899,      20826,       5177,      13018,       2631,         596.6,           4.2,          33.9,         212.5,         346.0,       8016.3,       1992.7,       5010.9,       1012.7
Arlington County Police Department,VA,12,     156115,         727,           1,          41,         291,         394,       8610,       1267,       6194,       1149,         465.7,            .6,          26.3,         186.4,         252.4,       5515.2,         811.6,       3967.6,         736.0
Arvada Police Dept,CO,12,      91431,         235,           1,           8,          33,         193,       3245,         761,       2309,         175,         257.0,           1.1,           8.7,          36.1,         211.1,       3549.1,         832.3,       2525.4,         191.4
Athens-Clarke County Police Department,GA,12,      42037,         528,           4,          45,         206,         273,       3330,       1558,       1600,         172,       1256.0,           9.5,         107.0,         490.0,         649.4,       7921.6,       3706.3,       3806.2,         409.2
Atlanta Police Dept,GA,12,     426482,      16852,         246,         691,       6796,       9119,      71389,      17202,      42660,      11527,       3951.4,          57.7,         162.0,       1593.5,       2138.2,      16739.0,       4033.5,      10002.8,       2702.8
Aurora Police Dept,CO,12,     219780,       2859,           7,         120,         378,       2354,      14424,       2967,      10237,       1220,       1300.8,           3.2,          54.6,         172.0,       1071.1,       6562.9,       1350.0,       4657.8,         555.1
Aurora Police Dept,IL,12,      91479,,           9,,         193,         427,       6209,       1429,       4438,         342,,           9.8,,         211.0,         466.8,       6787.4,       1562.1,       4851.4,         373.9
Austin Police Dept,TX,12,     468907,       2605,          31,         235,       1019,       1320,      47423,      11160,      33556,       2707,         555.5,           6.6,          50.1,         217.3,         281.5,      10113.5,       2380.0,       7156.2,         577.3
Alachua County Sheriff Department,FL,12,,         576,           2,          60,         107,         407,       4630,       1659,       2715,         256,,,,,,,,,
Bakersfield Police Dept,CA,12,     161823,       1790,          14,          52,         608,       1116,      13139,       3467,       8395,       1277,       1106.1,           8.7,          32.1,         375.7,         689.6,       8119.4,       2142.5,       5187.8,         789.1
Baltimore City Police Dept,MD,12,     763138,      15618,         262,         541,       7966,       6849,      55755,      14315,      33267,       8173,       2046.5,          34.3,          70.9,       1043.8,         897.5,       7306.0,       1875.8,       4359.2,       1071.0
Baltimore County Police Department,MD,12,,       7237,          34,         220,       1804,       5179,      33315,       8237,      20651,       4427,,,,,,,,,
Baton Rouge Police Dept,LA,12,     233893,       3914,          41,         113,         730,       3030,      23566,       5953,      15516,       2097,       1673.4,          17.5,          48.3,         312.1,       1295.5,      10075.5,       2545.2,       6633.8,         896.6
Beaufort County Sheriff Office,SC,12,,         482,           8,          49,          50,         375,       3994,       1263,       2533,         198,,,,,,,,,
Beaumont Police Dept,TX,12,     115246,       1638,          22,         144,         583,         889,      10794,       3752,       6162,         880,       1421.3,          19.1,         125.0,         505.9,         771.4,       9366.1,       3255.6,       5346.8,         763.6
Bellevue Police Dept,WA,12,      86768,         208,           1,          37,          49,         121,       4933,         902,       3754,         277,         239.7,           1.2,          42.6,          56.5,         139.5,       5685.3,       1039.6,       4326.5,         319.2
